age,credit_amount,treatment,default,pd_baseline
52,6728,0,0,0.05342207215318385
38,6107,0,0,0.06034374292743955
29,16488,1,0,0.02651641223096415
45,5938,0,0,0.019131374979520884
46,13433,0,0,0.08481401079343022
34,18707,0,0,0.02297612436941555
62,18243,0,0,0.0962688632900539
24,17666,1,0,0.06166208828329681
35,10821,0,0,0.08666246321153966
31,12330,1,0,0.056875378221583416
61,14645,0,0,0.10384355695830691
31,6732,0,0,0.029175302082853165
30,10271,1,0,0.03157603953699847
46,9628,1,0,0.05642650965359274
32,16111,0,1,0.1612658871146623
33,11637,1,0,0.007033409708921067
31,9185,1,0,0.17498455672289415
44,11031,0,0,0.042199623037665876
53,3856,1,0,0.15739731097501836
41,5490,0,1,0.1426322410120204
60,16112,1,0,0.06339659544307683
32,3044,0,0,0.025272363725672535
58,13811,0,0,0.021455072680809838
53,18198,1,0,0.08762828910992836
24,13830,0,0,0.0632467131119723
50,12996,0,0,0.022986860221234907
64,14489,0,0,0.07093170630170173
50,3329,1,0,0.027703746632966732
32,3171,0,0,0.046740977512769843
40,19801,1,0,0.10199685062828176
59,8822,0,0,0.01879100339399639
34,8519,1,0,0.041344688600200685
41,3588,1,0,0.06723181405386978
46,14792,1,1,0.14566043883619287
57,1163,0,1,0.0958362831597925
63,3945,0,0,0.0342015972927728
52,4877,1,0,0.06713407838100618
40,18688,1,0,0.08907840057259435
39,19026,0,0,0.033798024228989684
50,2044,0,0,0.06945928969901838
24,3219,0,1,0.11602245914899859
40,19138,0,0,0.048542582247457174
36,12869,0,0,0.1659069143459883
62,14678,1,0,0.1311991055452701
58,11567,1,0,0.044228922605755866
32,4931,0,0,0.04718689250063584
49,14742,0,0,0.15805474995672855
41,4027,1,0,0.06305431782297079
57,1068,1,0,0.022924070814220276
42,16823,1,0,0.023059964751763133
49,7907,1,0,0.22461332561657898
53,1278,1,0,0.013788610445612106
57,8971,0,0,0.01629455427086681
52,2728,1,0,0.08724199339220497
34,9684,1,0,0.15624609886956842
53,13620,1,0,0.1028738308571939
34,7093,1,0,0.12575921574404458
53,2008,0,0,0.2644860933881342
62,17860,1,0,0.03509678993060944
41,11054,1,0,0.08374910226878317
60,950,1,0,0.03532435852598352
27,11694,0,0,0.0625202139913613
39,18513,1,0,0.037994179578909784
59,848,0,1,0.1343376363298779
53,15840,1,0,0.11589612375507223
35,7854,0,0,0.04407570544182109
43,14297,0,0,0.028900193034798415
25,1056,0,0,0.03623189699416611
56,18185,1,0,0.22750325922050452
26,19354,0,0,0.050895136322574246
45,11222,1,0,0.01833635999669942
42,4698,1,0,0.1759553248097275
48,3448,1,0,0.04785281890811388
39,13949,1,0,0.05270467425213975
24,15972,1,0,0.056786754857217986
50,13638,1,0,0.10663343709182696
60,10120,0,1,0.16834453933706434
47,15558,1,0,0.05760628394345351
22,14879,1,0,0.10836221968473639
25,7038,1,0,0.12309917480009117
33,15647,1,0,0.06498094681849757
34,4095,1,0,0.0906392077928737
26,16495,1,0,0.1515182045185895
60,10844,1,0,0.05641479338324287
53,15069,0,0,0.21157337157957892
54,14039,0,0,0.173705885306192
63,2371,0,0,0.12008951934567423
59,15228,0,0,0.199798744009624
28,15785,1,0,0.17728177211022603
21,1453,0,0,0.014359301848024258
53,4905,1,0,0.014555833876676076
61,15176,0,0,0.029212183806824773
51,7537,1,0,0.19208336637900145
58,2692,1,0,0.06103071163479379
47,17162,0,0,0.032706978014963264
40,10730,1,0,0.04427176029571248
26,8186,1,0,0.10527895889633739
50,11330,1,0,0.1181000575364071
33,8294,0,0,0.05358650738488162
32,2977,0,1,0.12465614414134216
59,11454,1,0,0.14280296891458705
49,19297,1,0,0.18236664049423484
40,19057,0,0,0.0963940243382299
56,12941,0,1,0.3159028678947535
53,3670,1,0,0.06788817583724119
42,4865,0,0,0.03761750795513527
64,6651,1,1,0.16782371582992003
22,1492,1,0,0.22290503554163402
42,3230,0,0,0.02293533703811175
39,15612,0,0,0.046174156169934914
26,8866,1,0,0.10764288189874364
52,16905,1,0,0.2017120985832675
25,1702,1,0,0.031369087605290245
51,2267,0,0,0.08325846113084011
54,13950,1,0,0.20935675427034428
42,5519,1,0,0.12009193388241235
31,4906,1,0,0.05228365958516229
64,13026,1,0,0.14433401103543128
52,18307,1,0,0.14358870172260976
26,8670,1,0,0.17006806719167336
53,15370,1,0,0.20750708165800927
27,7178,1,0,0.11851381359619916
48,16862,0,0,0.07054883066345545
32,8776,1,0,0.1155420246752634
48,3457,1,0,0.10520597902704741
56,10353,1,0,0.03427715347120141
55,6203,1,0,0.24151230075296223
54,4100,1,0,0.09544190994411228
52,4084,1,0,0.18277741747427675
55,8067,1,0,0.11562714352555067
60,691,0,0,0.021428692253883667
59,1861,0,0,0.09675854802739706
54,11996,0,0,0.03903480984067057
40,618,1,0,0.031810961034171935
33,15557,1,0,0.08842769689922775
35,19516,0,0,0.07368644234083076
47,4082,0,0,0.17037744593937115
47,1568,0,0,0.06967867616753572
39,4604,0,1,0.05459822199124738
39,1347,1,0,0.060703279418357424
52,5749,0,0,0.12317962540588319
44,17854,1,0,0.051408179813323525
21,16485,0,0,0.15968704666898734
27,19532,1,0,0.07609151501926216
35,16327,0,0,0.037209277323168456
38,16968,1,0,0.047169120490252084
53,12047,1,0,0.04037601596049078
41,3221,0,0,0.06820390997737037
39,15491,1,0,0.033091478068750506
24,12970,1,0,0.12303145357539128
23,19260,0,0,0.06657257510256138
64,14090,1,0,0.02033448706302211
58,11138,1,0,0.10184594008333042
22,15547,0,0,0.06420605519033643
40,13294,1,1,0.15316610963291105
61,2701,1,0,0.02516485885989831
52,12422,1,0,0.10066089725928169
24,8119,0,0,0.02458636532580828
39,3673,1,0,0.015796835610450383
58,5883,1,0,0.09685036362728311
34,16776,1,0,0.06368998582034419
45,13263,0,1,0.16087020305140798
35,1633,1,0,0.04172263401792774
29,7200,0,0,0.12809628046624574
58,13868,0,1,0.1584715902745073
31,10422,1,0,0.039597961740839634
46,15634,1,0,0.12571418849678373
36,12715,0,0,0.06056309029038123
47,1223,0,0,0.07647017668521877
55,17383,0,0,0.0743784858501419
45,11623,0,0,0.047100845647120915
27,18457,0,0,0.06045915378290364
33,4796,1,0,0.08084341301170846
31,14022,1,0,0.057001376517560154
51,1072,1,0,0.08608826939814776
51,3549,0,0,0.07119918582780059
27,17715,1,0,0.05392861676424858
48,17833,1,0,0.06112214680668936
41,19107,1,0,0.059032692687990045
39,4488,0,0,0.052899978158801535
58,17894,0,0,0.05321705162357943
23,1537,1,1,0.04731882155108094
52,8312,1,0,0.25366545286326486
45,9026,1,0,0.09107472777250394
32,15953,1,0,0.20963652945248434
31,13850,1,0,0.11557070915636455
28,7502,0,0,0.07007893662113139
47,3412,0,0,0.0697787411219961
49,7622,0,0,0.014541573060913242
33,6337,0,0,0.09349858890230398
37,13566,0,0,0.08074901355252107
64,2061,1,0,0.016877989554580367
52,8518,0,0,0.06638160579591433
46,12555,0,0,0.23375088646017173
26,13104,0,0,0.03888348007575178
46,14310,0,0,0.1540954366353999
38,6081,1,0,0.04392810209521587
57,10633,1,1,0.2495092752341294
29,2420,0,0,0.052547524527487295
64,9166,0,0,0.05918249888823953
62,19649,1,0,0.31849080107874644
55,17030,0,0,0.05870134571093166
43,12640,0,0,0.09165180372468265
47,8674,0,0,0.1782041996517008
60,18065,1,0,0.026375381013468802
58,9114,0,0,0.01369350460097672
56,15385,0,0,0.08274441063763788
28,11757,1,0,0.06308849216234569
38,916,0,0,0.05065824402734463
54,14225,0,0,0.0882111195917962
26,17920,1,0,0.06430148844793554
50,15652,0,0,0.009909022092175798
36,12487,0,0,0.04510772366369698
45,1295,0,0,0.05489415987053106
61,952,1,0,0.10391285537717043
59,17097,0,0,0.06526754013653374
37,9761,0,0,0.1013090473327508
52,9300,1,0,0.07833433495356108
21,12998,0,0,0.10896133084934909
52,18164,1,0,0.011598407090883067
27,9016,0,0,0.11437343842577925
61,10958,1,0,0.13850096707657575
34,11395,0,0,0.19474874933978292
51,9778,1,0,0.024692057937260547
50,13303,0,0,0.07600244906849989
32,4310,0,0,0.10325910865519967
57,7775,1,0,0.041856398797879335
29,9657,0,0,0.2834875563530581
60,10628,1,0,0.1747075942091505
43,10112,1,0,0.09005424459908881
41,8660,0,0,0.13095219296025865
31,17942,1,0,0.008372378029285974
21,16114,0,0,0.13201007870661055
51,17798,0,0,0.1536817324473674
53,12097,1,0,0.027382828270898066
58,9985,1,0,0.09438266547140667
63,8902,1,0,0.19573021832202697
33,17417,1,0,0.11848136781232992
45,13483,1,0,0.03444147574995398
61,17160,1,0,0.13516266067219693
45,17074,0,0,0.1250848241706494
53,18993,1,0,0.0338384592440793
52,11133,0,0,0.13487103820500523
64,7551,1,0,0.015750499584222446
35,18217,1,0,0.21867231735036244
29,4638,0,0,0.058275083173425515
61,6798,1,0,0.030814604758335643
41,18906,0,0,0.049421296823019205
29,14422,0,0,0.10967811362001186
49,11904,1,0,0.1374025376534073
58,10842,0,0,0.17552255373817846
54,9599,1,0,0.08221932788503272
35,17978,0,0,0.053168721224422136
61,8523,1,0,0.07424138207372488
22,9848,0,0,0.02010321966336565
60,2152,0,0,0.1315076259754382
29,2734,1,0,0.04734956532628051
31,4479,0,0,0.0435079412113465
34,6342,1,1,0.19110025329356908
39,6185,1,0,0.08355611333850878
23,13503,1,0,0.07504097515657525
52,11250,0,0,0.04170853601897782
26,582,0,0,0.0416190367607326
26,10575,1,0,0.03734695711953268
21,2101,0,0,0.06008882497703854
63,11085,0,0,0.04953921426561103
23,1477,0,0,0.1362394524601368
53,1990,1,0,0.13958735511184578
48,16609,0,0,0.030223647811209287
57,690,0,0,0.03895437446786985
40,19463,0,0,0.3052618180672425
60,9531,1,0,0.060804850769703905
41,16610,0,0,0.019220391635701217
28,4272,0,0,0.05080910039210191
60,9602,0,0,0.11871114984965324
39,17887,1,0,0.009709821379113404
21,2003,0,1,0.12297946342096192
49,8902,0,0,0.13055971514878054
35,2895,0,0,0.14883990432406566
57,7363,1,0,0.045487521284468174
27,19427,1,0,0.08402261783368715
53,11108,1,0,0.1944381502143608
57,7010,0,0,0.10811307706830413
26,12757,0,0,0.04772957227501552
46,5991,0,1,0.03742749092909839
49,2098,0,0,0.1253650400807034
61,11522,1,0,0.07812943681248707
33,14956,1,0,0.13261801225659667
42,3985,1,0,0.049725222414619186
38,3182,1,0,0.10159307313036374
37,12158,1,0,0.06975475027591624
64,8041,0,0,0.08688121174933403
49,18743,1,0,0.0432047139004149
27,7458,0,0,0.05395401246262693
59,8150,0,0,0.06007743042440029
25,11598,1,0,0.03702732670489963
59,19570,0,0,0.08548990427937811
39,13944,1,0,0.03985150766249322
50,13491,1,0,0.06862405305606474
59,16115,1,0,0.05193650259230521
59,16410,1,0,0.058178760083256134
28,10779,0,0,0.09536115037397051
38,6086,0,0,0.33061817126758436
24,3530,0,0,0.014333414827416912
49,11561,1,0,0.20214695305172783
39,14071,0,0,0.032233340668519045
64,7643,1,0,0.07161054289950142
48,9836,0,0,0.05028006957318809
40,9185,0,0,0.1645135960907313
27,11984,1,0,0.09958191984128636
33,16465,1,0,0.19739945972586054
56,9152,0,0,0.09035740923290045
27,10625,0,1,0.08192428296943519
58,8617,0,0,0.029202197754371332
47,6386,1,1,0.22564765929548627
43,14176,0,0,0.030356116693391316
41,12527,0,0,0.0921385760681803
22,10720,0,0,0.21263868689422005
30,6247,1,0,0.15067751841702556
43,17422,1,0,0.09385704340064759
42,16192,1,0,0.09880917353738253
30,14997,1,0,0.07896623243204767
56,16402,0,0,0.004709701908258669
40,9788,1,0,0.09505703783650878
38,12745,1,0,0.09105319342137008
54,4677,0,0,0.11220593817390284
27,15768,0,0,0.03951264167408451
23,842,1,1,0.13981873799804215
35,10416,0,0,0.1013184772597454
21,4505,1,0,0.08315054569071911
37,12114,1,0,0.09889932887753543
26,5984,1,0,0.058594048121908916
50,19304,1,0,0.06899185456311636
22,2803,0,0,0.14358544308576945
30,16537,0,1,0.1584195115183395
32,13547,0,0,0.040469553335355825
47,19920,0,0,0.08269382595166483
38,6858,1,0,0.008267471122602057
54,14248,1,0,0.10631271818683832
55,1089,1,0,0.10342920096532
37,13699,1,0,0.25380243643253186
22,9019,0,0,0.270078005159921
63,14665,1,0,0.1350272250447977
36,15794,1,0,0.16405977647003697
44,9987,1,0,0.0982184006281292
61,7125,1,0,0.06817701355867002
49,14403,1,0,0.2031552229019091
46,18095,1,0,0.2312353300181964
35,7508,0,0,0.04808484082887205
57,17129,0,0,0.07746617905669775
29,9153,1,0,0.10809120784711733
42,17842,1,0,0.0894202186119018
36,13154,0,0,0.16889049205438145
25,13521,1,0,0.2269051712966127
33,13920,0,0,0.019079188066534195
29,16228,0,0,0.06400459762425222
24,17294,1,0,0.052255661946529454
54,8085,1,0,0.0358412933873245
52,15044,1,0,0.006048854308916979
59,14017,0,0,0.011588254816884797
22,12036,0,0,0.03751317762970444
41,4866,0,0,0.008461856788113821
50,9577,1,0,0.05562243124582965
42,4492,1,0,0.10748927854103016
22,3164,1,0,0.03461986512857043
40,18900,0,0,0.027571496532367692
26,14616,0,0,0.10094491981346447
21,11201,0,0,0.14107883316302186
53,9116,0,0,0.1416540537367881
25,1897,1,0,0.12113538465877922
34,7346,0,0,0.20843597973984765
64,4347,1,0,0.026263636033202167
62,10994,0,0,0.04890424933815164
22,9496,1,0,0.13136506414427732
38,19285,0,1,0.11790483921291066
36,16994,0,0,0.007646943182568769
48,12219,0,0,0.20376331794301628
51,17971,1,0,0.07103698506809909
24,6923,0,0,0.16708130135820526
39,2712,0,0,0.11275595258378146
33,11430,0,0,0.15497550097838356
64,1709,0,0,0.0453021941768555
33,18886,0,0,0.11542721589259297
22,2872,0,0,0.1582351903003078
48,17199,1,0,0.046407767651199874
59,13592,1,0,0.08500365703619164
57,5311,0,0,0.11740403840561861
26,10890,1,0,0.04575767802483036
53,11106,0,0,0.05966610925159086
30,14888,0,0,0.14882872117377302
27,8823,0,1,0.08287516618983988
44,12070,1,0,0.014272571638572719
56,8604,1,0,0.08783725377831744
59,2369,1,0,0.03572485404992826
48,14360,1,0,0.1111075057153191
39,5523,0,0,0.009013180748808374
46,5938,0,0,0.09993208295015214
33,6965,1,0,0.05787448105979816
26,11548,1,0,0.032258172348041535
38,14300,1,0,0.09398927046268202
28,16386,0,0,0.08207939637394059
25,12138,1,0,0.02605752963462544
53,8257,1,0,0.13302368272007206
57,18963,0,1,0.11058592895884757
53,9762,1,0,0.0779223163424013
61,3337,1,0,0.1455840291005713
42,16131,1,0,0.07733202726934413
50,18803,0,0,0.17054598134758686
29,6169,1,0,0.03863080090103704
40,4792,1,0,0.01961950016347938
25,7364,1,0,0.06715257429088442
48,7197,0,0,0.1020688933193857
40,4253,0,0,0.04320958336549476
45,1174,0,1,0.05193765188380651
58,4159,0,0,0.09363103605363197
23,6282,1,0,0.06153777702880662
40,4173,0,0,0.07560381893627724
38,4394,0,0,0.09004681817179973
53,18894,1,0,0.07772539654952686
49,4736,1,0,0.36280708184307997
52,16521,1,0,0.04507104724711446
58,11657,1,0,0.03190200593112849
34,9004,1,0,0.0614911169792674
36,15725,0,0,0.08983618711580146
36,830,1,0,0.03448635760631954
57,15026,1,0,0.10017212526105068
41,8613,0,0,0.09987908111503163
54,16668,0,0,0.07691252371328106
31,19265,0,0,0.09061603772122379
61,14761,1,0,0.013868393855101606
42,2731,0,0,0.04863772837830534
64,19541,0,0,0.10373379145283541
40,15317,1,0,0.023210389699459145
22,860,0,0,0.13224454994226584
32,4210,0,0,0.06224292506685802
40,19763,1,0,0.028486765883871987
26,16814,0,0,0.11009617692282882
55,8491,1,0,0.16166247848877383
36,19151,1,0,0.0611423017785843
57,9817,0,0,0.03406476580350454
63,17412,1,0,0.059678869047041075
24,11758,0,0,0.049521718775131826
33,13373,0,0,0.1716013789054825
47,666,1,0,0.1716166504585119
59,19418,1,0,0.1362133020724462
60,4043,0,0,0.10927399070500925
29,4658,1,0,0.08225157804084281
30,9196,1,0,0.01360740348121508
29,15227,0,0,0.03131651261483665
36,15505,0,0,0.11390340987107722
47,12718,1,0,0.04149629119912607
38,17466,0,1,0.06826271704507544
52,14024,1,0,0.03694072052428639
38,3380,0,0,0.08447458495850761
46,15779,1,0,0.056593136556357296
45,5628,0,0,0.045394135461179576
32,10632,1,0,0.07407128350479614
23,12343,1,0,0.17254564088459748
30,8146,1,0,0.1280104981051314
55,7539,1,0,0.024088107830765232
53,5724,0,0,0.05787783517332533
26,6309,0,0,0.10889464483768621
37,19728,0,0,0.11888587398973012
56,7974,0,0,0.049039523308425044
56,9720,1,0,0.23322369459314526
21,14181,0,0,0.03438056964297951
55,5348,0,0,0.0901754655918603
55,4372,1,0,0.13225902441155207
26,4596,1,0,0.036671341114438934
36,1707,1,0,0.10906371176971728
23,9300,1,0,0.06780021775457752
49,567,0,0,0.10300584275952486
58,7883,0,0,0.0669189664199032
28,10770,1,0,0.01848527380819071
36,5532,1,0,0.1303485075034151
44,5375,1,0,0.01926247725937943
24,12212,1,0,0.047239710207807935
34,11451,1,0,0.10987975399076168
30,15880,0,0,0.0933361987641101
21,17679,1,0,0.05567532466125009
50,5341,1,0,0.06034819965940962
52,6226,0,0,0.07012248630431103
24,10727,0,0,0.02417012636396787
26,4079,0,0,0.08010767943983879
24,14699,1,0,0.07784588003899039
62,530,1,0,0.004239307846745159
46,7666,1,0,0.18158512433535864
44,19636,0,0,0.10430770546451597
24,14811,0,1,0.12966217912859898
21,10578,0,0,0.0516749549023477
61,572,1,1,0.25867932451415343
62,16140,1,0,0.20491412665183995
44,9193,0,1,0.17462479281499108
26,17232,1,0,0.0838700601737409
22,15783,1,0,0.136793849164438
57,19906,1,0,0.09878952882474615
44,2798,0,0,0.10680667844330746
35,17262,1,0,0.02349881968697524
21,14377,0,0,0.06017596800464546
45,6234,0,1,0.19366195744596376
59,16967,1,0,0.07455408985824424
57,11505,1,0,0.047152311769426844
53,13366,1,0,0.07628104671221254
23,19273,1,0,0.017555155666965472
54,11671,1,0,0.14992067984493812
50,12850,0,0,0.12882366492354916
57,17376,1,0,0.026236779759272907
27,15496,0,0,0.052652403403515
58,13000,1,0,0.019983377591587893
52,18179,1,0,0.12960506639198627
54,18253,0,0,0.058323693951896426
28,12466,0,0,0.04022909140214176
58,2419,1,1,0.21276396373738543
21,14003,0,0,0.10576050369013235
30,6986,1,0,0.0839351161756984
27,11971,0,0,0.09019114694366184
31,7853,0,0,0.07398513093981962
48,7103,1,0,0.07953799528214513
61,19506,0,0,0.05275090629771669
64,5351,1,1,0.2123890435699395
25,3630,0,0,0.09457278255347391
63,12853,1,0,0.057968924630178914
25,13065,0,0,0.08660482101400462
53,19631,0,0,0.07165931049255811
29,1620,1,0,0.037208977516956725
57,18364,0,0,0.1513751233251907
36,16872,0,0,0.011378802569704987
59,4592,1,0,0.03357680400116462
44,16464,0,1,0.15026094505020313
44,16933,0,0,0.16190764465252852
40,2741,0,0,0.05317259292178531
31,911,1,0,0.040865039030045056
