age,credit_amount,device_reuse,velocity,geo_mismatch,label
55,2927,0,0,0,0
28,8822,1,0,1,2
34,5062,1,0,0,0
61,18071,3,7,0,2
64,11025,1,0,0,0
46,2417,3,4,0,0
40,13996,1,1,0,1
36,1337,1,5,1,2
47,5846,1,0,0,0
47,14566,1,0,1,2
33,10367,4,4,0,0
22,15339,1,6,1,0
27,11638,1,1,1,0
63,16939,4,4,0,0
39,11470,3,8,0,2
42,1607,0,6,1,0
41,1889,4,7,0,2
55,15649,0,3,1,2
23,1252,0,9,1,0
24,7842,2,1,1,0
33,814,3,6,0,2
42,6415,0,4,0,0
50,12105,3,0,1,0
42,3873,0,9,1,2
40,9588,3,7,1,2
62,19922,0,2,1,2
28,1874,2,0,0,0
46,1741,3,6,0,2
44,5789,1,5,1,2
41,16626,3,0,0,0
56,8413,3,9,1,2
32,12970,3,7,0,2
62,1160,1,4,0,0
35,14834,3,2,0,0
44,1814,3,2,1,0
43,14378,1,4,1,1
58,3384,3,0,1,2
40,17239,4,3,0,1
33,6274,4,2,0,0
21,4083,3,1,1,2
37,7065,3,1,1,2
57,516,4,3,0,0
21,3719,1,3,0,0
60,12171,3,3,1,1
44,6365,0,6,0,0
27,7400,1,5,1,2
34,16240,4,1,0,1
45,2913,1,9,1,2
34,8219,4,7,1,2
25,4129,2,4,1,2
50,9915,1,0,1,0
50,6969,0,9,0,0
26,1401,2,7,0,0
33,1869,2,4,1,2
31,17120,2,1,0,0
50,1609,0,1,1,0
53,15762,1,2,1,2
52,18362,0,2,0,1
62,9583,1,2,0,0
54,6586,4,4,1,0
35,15638,0,0,0,0
25,19653,3,3,0,0
48,2848,0,8,0,0
61,19305,2,8,1,2
63,18902,4,0,1,2
31,3280,1,6,0,0
31,1567,0,9,1,0
22,14441,2,5,1,1
27,2014,1,3,0,0
45,12215,4,4,0,1
45,1762,4,2,0,0
37,13967,3,3,0,0
34,5018,3,9,0,2
57,2375,3,6,0,2
41,1798,3,4,1,0
56,4176,2,1,1,0
63,11044,4,9,1,2
34,1994,1,1,0,0
29,16144,0,7,0,0
62,12280,3,3,1,2
48,6297,3,2,0,0
33,19738,4,1,1,2
48,13341,1,3,1,0
43,13603,2,6,1,1
60,3891,2,4,0,0
32,14359,1,0,0,0
64,11404,3,2,0,0
62,19699,2,1,1,0
28,9820,3,4,0,0
28,13721,2,9,1,2
44,7152,1,9,1,2
22,1283,4,9,0,2
34,2994,2,1,0,0
40,17406,3,4,0,0
63,14893,2,0,0,1
64,7611,1,4,1,2
27,14107,4,5,1,1
60,585,1,7,0,0
25,1225,4,3,1,2
53,10391,2,0,0,0
58,12686,0,4,0,0
60,18771,0,4,0,0
30,15313,4,6,0,2
60,5517,2,0,1,0
26,16395,1,6,1,0
43,10084,4,4,1,0
41,16607,3,7,0,2
34,3888,3,9,1,2
21,1011,3,2,1,2
54,1625,0,7,1,0
35,19822,0,1,1,0
50,2070,3,9,0,2
39,18817,0,4,0,0
37,14676,3,7,0,2
59,3347,0,7,0,0
25,17349,1,6,0,1
53,3312,3,3,0,0
53,3294,3,7,0,2
37,11722,3,4,0,0
32,6122,3,6,0,2
21,6171,0,6,0,0
62,4303,4,4,1,0
62,12349,1,1,0,0
31,1023,0,2,0,0
22,5278,4,9,1,2
26,11291,0,5,0,0
23,9987,2,6,1,0
57,14148,2,2,0,1
60,4716,3,7,0,2
27,13133,0,4,0,1
53,15318,0,2,0,0
28,8067,2,1,0,0
37,5507,2,3,1,2
47,11322,3,5,0,0
52,11787,3,2,1,2
59,2334,0,2,0,0
22,11519,4,2,1,2
29,3508,2,2,1,2
33,11592,4,7,1,2
34,18669,4,4,1,2
64,10972,0,4,1,0
55,15349,2,1,1,1
35,6539,2,5,0,0
63,18493,2,9,1,0
42,16348,1,7,0,0
43,18375,2,4,1,2
40,14961,2,3,0,1
27,13163,0,3,1,1
62,10737,1,0,0,0
21,18600,0,0,1,2
28,17039,4,7,0,2
31,8625,3,8,1,2
33,2170,1,9,0,0
26,570,1,6,0,0
21,5052,0,9,0,0
50,1720,1,4,0,0
63,4624,4,2,0,0
26,2635,0,2,0,0
34,19630,0,2,0,1
43,2359,4,7,0,2
61,12724,2,0,1,0
51,7358,0,9,1,0
54,3897,2,7,0,0
46,14174,3,3,0,1
39,19425,1,7,0,0
29,15917,1,1,1,1
59,19517,3,4,1,2
56,12009,2,1,1,0
22,13634,4,1,0,1
52,3355,1,0,0,0
24,17122,1,7,0,0
53,15084,0,7,0,0
57,5453,3,8,1,2
26,7418,2,9,0,0
40,12412,1,9,0,1
26,753,3,9,0,2
45,16449,1,0,0,1
61,5971,0,7,1,2
24,1962,2,7,1,2
38,6946,2,1,1,2
63,16797,2,1,0,1
34,5847,2,9,1,0
26,11014,4,8,0,2
42,16331,1,3,1,1
43,1157,1,0,0,0
50,15318,2,3,1,1
34,6129,0,0,0,0
63,14063,0,6,1,0
43,4167,2,3,1,0
33,3210,2,0,0,0
63,15871,3,9,1,2
61,16252,0,8,0,0
42,19635,4,9,0,2
22,13704,2,9,0,1
47,9584,0,0,1,0
45,4299,1,7,1,0
27,6256,1,7,0,0
48,13137,2,7,1,1
57,7249,2,2,1,0
25,9928,2,3,1,2
52,3777,2,9,0,0
27,9067,4,0,1,0
53,5140,4,6,1,2
39,2686,2,7,1,0
21,3072,4,7,1,2
63,10606,4,5,0,0
28,7645,4,7,1,2
47,2448,1,9,0,0
28,10528,2,7,0,0
62,3702,1,1,1,2
53,801,0,2,1,2
56,3084,0,3,1,0
40,9246,3,3,0,0
41,19105,2,3,1,2
48,5212,4,2,1,0
55,6054,3,6,0,2
58,5231,0,1,1,0
21,7426,4,7,1,2
50,14487,2,6,0,1
25,6780,2,9,1,2
33,13322,4,0,0,1
57,18015,3,2,1,1
32,18950,0,8,1,2
56,11477,0,4,0,0
41,14408,2,5,0,1
31,18423,0,0,1,0
35,15840,0,7,1,1
44,6348,3,2,1,0
54,3074,0,9,0,0
47,2739,0,3,1,0
62,17700,2,1,0,0
59,11346,0,5,1,0
54,6278,1,4,0,0
47,7237,4,4,1,0
33,5992,3,9,1,2
39,16137,4,3,1,2
26,12441,1,3,0,0
37,17648,3,6,1,2
61,6384,1,1,1,0
39,9715,1,8,0,0
26,2873,0,2,1,2
49,19441,4,2,0,0
63,10481,0,0,1,0
59,11283,1,3,0,0
33,8566,2,5,1,2
40,5782,2,7,1,2
44,18993,1,8,1,2
31,10035,1,7,0,0
32,13658,1,3,0,1
31,1227,4,8,0,2
64,5880,2,1,0,0
53,16178,4,2,1,0
57,2212,4,3,1,0
56,2477,3,5,1,2
63,16291,4,2,1,1
25,6520,0,9,0,0
59,5840,4,2,1,0
23,11523,2,3,0,0
41,4300,3,6,1,2
47,1338,1,4,1,0
36,586,0,4,1,0
27,2046,4,9,0,2
29,3591,2,4,1,2
57,14074,0,1,0,1
35,6310,3,7,1,2
34,1899,0,7,0,0
61,781,2,2,0,0
27,9803,3,8,0,2
61,16882,3,3,0,0
61,7104,2,1,1,0
47,1745,1,1,1,0
28,4947,4,7,0,2
27,10237,0,2,0,0
33,4181,0,4,1,2
46,19580,0,7,1,2
27,15386,4,8,0,2
41,7219,2,4,0,0
26,19055,0,9,0,1
44,6837,0,3,0,0
21,3233,0,8,0,0
52,18796,4,2,1,1
23,19213,2,0,1,2
29,6596,0,7,0,0
28,12097,1,7,0,0
57,3879,3,9,1,2
23,13012,2,9,0,1
39,13957,4,1,0,0
47,14343,0,6,0,1
43,11590,0,7,0,0
50,14230,0,6,1,0
56,11323,1,0,0,0
38,16486,3,0,0,1
57,4001,3,6,0,2
34,9927,1,8,1,2
64,8619,3,1,1,2
43,10900,3,0,1,0
53,3270,0,4,0,0
59,6814,3,3,1,2
55,19105,2,9,1,1
58,2552,0,9,1,0
44,12888,1,5,1,2
22,13460,3,9,0,2
42,9753,3,2,1,2
28,1155,1,9,1,2
60,1169,3,4,1,0
31,5874,1,4,1,0
31,2499,2,0,1,0
31,2337,0,1,0,0
49,3622,4,1,1,0
46,4219,4,4,1,0
62,16850,0,1,0,1
39,12955,2,1,0,0
33,1092,3,6,0,2
23,12755,2,8,1,2
21,3165,1,0,0,0
37,8710,4,5,1,2
61,1241,1,9,0,0
44,2258,1,4,1,0
60,3085,1,1,1,0
25,8950,4,0,0,0
25,9530,2,9,0,0
57,7378,3,4,1,0
25,12593,4,1,0,0
23,14548,4,8,1,2
38,14710,4,8,1,2
61,11791,4,7,0,2
51,11138,4,0,1,2
25,10085,4,0,1,2
57,5139,3,2,0,0
58,9996,0,1,1,0
56,696,0,5,0,0
60,19342,3,3,1,2
31,7716,1,7,0,0
64,15247,4,1,1,0
35,19155,4,7,1,2
56,10191,3,9,0,2
46,17305,3,1,0,1
55,9844,1,6,0,0
48,3079,2,5,0,0
49,1016,4,0,0,0
48,3144,4,2,1,2
55,18878,1,7,0,1
53,9764,4,8,1,2
26,6723,2,3,0,0
57,9198,4,1,1,2
44,5490,2,2,1,0
35,17475,3,8,1,2
43,19988,0,5,0,0
63,2155,1,4,1,2
58,14514,3,0,1,2
57,7044,4,7,0,2
41,1423,0,4,0,0
55,18483,0,5,1,0
37,1706,3,8,0,2
51,4515,2,5,0,0
49,997,4,9,1,2
31,9690,0,5,1,2
32,12192,1,3,1,2
23,6753,0,9,1,0
27,1895,3,6,0,2
40,2765,4,7,0,2
42,18701,0,2,1,2
28,16215,1,6,1,2
39,18769,4,5,0,0
47,10850,0,1,0,0
31,11148,4,2,0,0
35,15826,4,9,0,2
37,12524,0,5,0,0
43,9010,0,7,1,0
37,6191,3,1,1,2
53,9967,0,2,1,2
35,1747,2,9,0,0
40,4252,0,4,0,0
37,14880,2,8,1,0
29,17427,1,8,1,2
51,2484,3,3,1,2
31,2389,4,9,0,2
34,2168,2,7,0,0
55,15935,3,1,1,0
62,6568,3,0,1,0
50,6871,4,1,1,0
61,743,1,7,0,0
58,19465,1,1,0,1
42,8963,1,2,0,0
54,16050,3,4,0,0
35,14299,4,1,0,1
41,3264,1,3,1,0
44,16126,0,6,0,0
63,11230,3,9,1,2
58,12283,2,4,0,1
42,4406,1,7,1,0
49,17014,0,5,0,0
29,18667,4,4,0,0
56,8426,4,5,1,0
45,2303,3,9,1,2
44,17051,2,0,0,0
54,17804,1,5,1,2
48,10376,2,0,0,0
24,11793,0,8,1,0
33,4849,1,6,1,0
28,1815,2,0,1,2
53,18910,2,6,0,0
22,9917,0,4,0,0
29,5861,4,0,1,0
47,14018,1,9,0,1
51,1010,2,3,1,2
43,2058,2,0,0,0
58,5232,2,6,0,0
61,9287,4,3,0,0
26,7650,3,6,0,2
62,4153,4,1,0,0
48,7351,1,8,0,0
48,7011,1,4,0,0
25,10731,2,4,0,0
48,11473,2,8,1,2
52,17720,1,5,1,1
46,16232,2,0,1,0
24,6200,0,5,1,2
44,18102,2,6,0,0
62,10655,3,3,1,2
52,4159,2,1,1,2
27,7132,4,0,0,0
63,14964,4,8,1,2
63,16524,4,0,1,0
28,7795,0,5,1,2
56,3573,4,8,0,2
38,4241,1,3,1,0
47,2518,2,2,1,0
40,14125,2,7,1,1
55,10308,1,6,1,2
64,9298,4,0,1,2
55,13601,3,5,0,1
61,16658,4,0,1,0
62,16012,4,3,0,0
24,3174,2,3,0,0
32,11997,3,8,0,2
52,17709,2,9,1,2
46,15590,2,6,1,2
23,6923,3,7,1,2
25,8157,3,0,0,0
43,17858,4,0,1,2
48,1140,3,7,1,2
28,10745,3,4,1,0
28,2763,4,5,1,0
26,17944,0,6,0,0
45,1255,3,3,0,0
21,956,1,6,1,0
46,6914,2,7,1,0
41,4403,3,2,0,0
41,10162,1,6,0,0
50,6341,4,1,1,0
43,7448,2,3,0,0
53,11515,1,7,0,0
54,11431,1,9,1,2
61,18731,2,0,0,0
56,9871,4,6,0,2
43,11502,0,5,1,2
42,13719,2,6,1,2
31,3897,4,7,0,2
47,13505,2,0,1,0
27,17307,2,7,0,0
61,6702,1,2,0,0
58,3977,0,1,0,0
26,7251,3,4,1,0
55,5863,4,0,0,0
26,11910,2,6,0,0
52,17342,2,5,1,1
24,12130,0,5,1,0
42,2947,4,0,1,0
49,6636,4,7,1,2
53,13941,4,0,0,0
39,6941,1,2,1,0
61,11934,3,3,0,0
55,14033,2,7,1,2
30,6918,1,4,1,0
50,13124,1,8,0,0
53,8263,1,9,0,0
35,3133,2,7,1,2
53,7757,0,0,1,2
60,9100,3,7,0,2
56,546,2,2,0,0
54,17907,4,8,1,2
48,10793,1,9,1,2
32,1207,0,0,0,0
55,17425,1,0,1,2
37,17175,4,6,0,2
44,734,1,1,0,0
34,3681,3,9,0,2
34,7593,4,5,1,0
27,10391,1,5,0,0
63,14652,3,8,0,2
27,8774,1,2,0,0
24,12428,1,5,0,0
62,697,1,9,0,0
45,13341,3,0,1,0
40,18350,4,1,1,1
53,10761,1,1,0,0
37,9371,1,3,1,2
26,6293,4,1,1,2
53,19108,2,1,0,1
28,1147,2,8,0,0
45,6091,3,4,1,0
62,3204,0,3,0,0
62,17392,4,4,0,0
36,9910,1,9,0,0
55,18486,3,4,1,2
47,13470,2,4,1,2
42,11358,3,9,0,2
27,10590,3,0,0,0
37,4452,0,4,1,0
49,11459,0,7,1,0
64,13862,4,5,0,1
21,19324,2,8,0,0
52,11205,1,8,0,0
58,18807,0,3,0,0
62,18918,0,8,1,2
39,10689,4,2,1,2
26,9065,4,2,1,2
32,3282,1,9,1,0
58,5736,1,0,1,2
59,17642,2,3,1,1
49,3196,0,6,0,0
26,8242,2,4,0,0
26,14123,3,8,1,2
42,5192,4,2,0,0
46,19495,1,5,1,1
22,13164,0,1,0,0
51,1052,0,2,0,0
44,5319,1,1,0,0
21,14938,3,7,0,2
25,17332,0,2,0,0
40,18575,3,6,0,2
52,17097,2,3,0,0
57,1958,3,5,0,0
39,14728,2,8,1,2
33,2648,0,8,0,0
63,1992,0,0,1,0
41,13993,2,7,0,0
34,9824,2,9,1,2
40,13135,4,6,1,2
21,17103,4,1,1,0
34,1842,0,6,1,0
43,10786,1,6,0,0
61,16771,1,6,1,2
53,9085,0,4,0,0
55,10706,0,5,1,0
44,10208,0,6,0,0
25,18190,2,4,0,1
38,1472,0,7,1,0
64,17620,0,7,1,2
22,16419,0,3,1,0
59,16343,3,6,1,2
51,8539,3,7,1,2
33,10560,4,4,1,0
55,7695,0,7,1,0
57,5408,1,1,0,0
22,17570,2,3,1,2
25,10366,3,7,1,2
50,14605,0,8,1,2
64,2465,1,6,1,0
22,15884,2,6,1,2
50,13347,0,3,1,1
27,19953,1,7,0,0
49,3112,3,3,1,2
48,11030,2,0,1,2
24,10467,2,2,1,2
50,10998,2,6,1,2
60,1560,4,9,1,2
58,9725,2,4,0,0
22,6340,2,8,1,2
31,12538,4,7,1,2
31,5025,0,5,1,0
40,8983,0,8,1,0
27,12590,2,4,1,2
58,1748,1,4,1,2
55,15842,1,7,0,0
56,14456,0,6,1,1
29,1617,4,5,1,0
21,1762,3,4,1,0
61,17080,3,9,0,2
33,6024,0,0,1,0
49,17284,1,0,0,0
61,10235,3,4,0,0
22,7174,2,0,0,0
21,5834,3,3,1,0
21,13350,3,5,0,1
27,2639,2,4,0,0
23,8350,3,2,0,0
57,7244,1,2,1,2
47,3506,0,6,0,0
64,7380,4,9,1,2
56,10808,0,7,0,0
63,13712,1,5,1,2
31,2184,0,1,1,2
33,17511,1,2,0,0
58,17630,1,4,1,0
31,13993,0,2,0,0
23,18523,2,6,1,2
50,8844,4,3,1,2
56,16521,0,8,0,0
63,14681,4,2,0,1
61,11469,2,4,0,0
26,4000,2,7,0,0
54,11373,2,2,1,2
58,18076,1,7,0,0
51,19699,0,5,0,1
57,9237,2,6,0,0
57,5334,4,4,1,0
40,15076,2,9,1,2
22,1980,2,7,1,2
41,3446,3,1,0,0
29,11457,1,5,1,0
26,19808,0,9,1,2
26,6911,2,2,0,0
51,9144,4,5,1,2
43,6785,1,7,0,0
44,9089,4,2,1,0
53,638,4,5,1,2
45,12097,1,5,1,0
48,12126,2,1,0,0
24,6653,3,1,1,0
58,5648,2,5,1,2
40,15351,3,1,0,1
27,4163,4,9,1,2
56,1417,3,5,0,0
53,1288,4,7,0,2
23,17694,4,3,1,0
29,7605,4,2,0,0
21,2485,4,4,0,0
32,17639,1,7,0,1
25,3398,0,3,1,2
52,7065,0,2,0,0
43,903,1,1,0,0
64,13741,3,5,1,2
53,14136,2,6,0,0
47,15252,2,5,1,0
43,5629,0,2,1,2
23,6897,3,2,1,0
24,18793,1,3,1,1
48,16521,3,3,0,0
21,1224,0,2,0,0
22,13991,1,9,0,1
30,16348,0,3,0,0
59,11405,1,2,1,0
41,12978,4,6,1,2
52,519,2,8,1,2
39,1086,2,4,0,0
28,1184,1,6,1,2
37,3600,1,0,1,0
25,19821,3,5,1,2
54,12869,4,0,1,0
29,15754,3,1,1,0
37,6263,3,5,0,0
64,18782,2,2,0,0
47,4378,0,0,1,2
41,18094,3,1,0,1
44,1100,4,7,0,2
55,898,2,5,1,0
32,2038,0,3,1,2
49,15941,3,9,0,2
59,5521,4,3,0,0
46,9297,1,8,1,2
40,9690,0,3,1,0
27,15896,3,0,0,0
31,7300,1,1,1,0
62,630,3,2,0,0
44,8036,3,1,1,2
34,6119,1,1,0,0
39,14752,0,3,1,1
46,15150,2,9,1,1
44,2293,2,2,1,2
51,15963,4,2,1,0
32,1874,1,9,0,0
49,12584,1,2,0,0
40,8091,4,8,0,2
62,6374,3,6,0,2
27,9922,3,9,0,2
27,6552,4,5,0,0
41,15980,3,5,1,2
43,19351,4,2,0,1
51,16408,3,5,0,0
38,9064,2,6,1,0
61,10314,0,9,1,2
41,9218,3,0,0,0
26,15974,3,1,1,2
26,11270,4,0,0,0
63,9628,3,7,1,2
26,8485,2,0,0,0
62,7813,2,9,1,2
33,11277,0,3,1,0
25,13935,0,2,0,0
34,8930,0,9,1,2
48,16229,4,7,0,2
39,16620,3,5,1,2
55,8867,1,8,0,0
47,18226,2,7,1,0
38,3874,2,6,1,0
48,18676,1,3,1,0
63,6234,2,9,0,0
39,11503,1,7,0,0
27,6029,3,9,0,2
38,9121,3,9,1,2
57,7131,0,5,1,2
30,14252,2,3,1,2
62,2083,4,9,1,2
46,16847,4,9,0,2
47,18124,3,1,1,0
34,11478,3,6,1,2
61,11171,0,6,1,2
22,14149,4,7,1,2
34,4381,3,9,1,2
39,15119,4,2,1,2
42,4764,4,9,1,2
41,13689,1,6,0,0
27,6458,0,0,1,0
30,15049,3,5,0,0
25,15925,2,1,1,2
46,4568,0,9,1,2
36,12539,1,7,1,2
45,10218,4,9,0,2
46,6233,1,6,0,0
51,11971,1,3,0,0
45,19856,3,4,1,0
49,548,3,9,0,2
46,19159,1,1,1,2
49,17191,4,8,0,2
48,10822,2,4,1,2
34,12395,0,5,1,2
31,7699,1,6,1,0
55,3018,4,0,1,2
36,11643,0,1,0,0
45,16418,0,1,1,2
29,5006,3,7,0,2
39,14482,2,0,0,0
44,15087,1,6,0,0
48,15286,2,1,0,0
44,7130,0,7,1,2
36,8144,1,9,0,0
63,8616,1,4,1,0
43,17156,2,2,0,0
56,18058,3,4,1,2
53,8573,4,6,1,2
45,19414,0,7,0,1
60,11624,1,6,0,0
26,8008,1,5,0,0
61,512,2,6,0,0
58,12415,2,2,0,0
43,13075,4,2,1,1
53,19383,4,9,0,2
43,14504,3,5,1,0
32,1078,0,8,0,0
56,11558,0,6,0,0
31,14984,4,4,1,0
34,10182,4,5,1,2
43,8872,1,6,1,2
57,16293,0,1,1,1
37,12421,3,4,0,1
42,13786,2,7,1,2
22,9550,4,0,0,0
26,5922,2,0,1,2
23,10622,3,1,1,2
24,19201,3,5,0,0
59,12252,0,2,1,0
58,14291,0,4,0,0
57,2920,3,1,0,0
23,19764,0,2,0,0
24,5271,1,0,0,0
33,19439,3,8,1,2
45,9192,1,4,0,0
35,18418,0,1,1,0
42,17890,0,5,0,0
28,15229,2,9,1,2
53,18369,3,8,1,2
34,12383,3,8,1,2
23,17051,4,4,0,1
53,3857,3,3,0,0
60,1870,3,3,0,0
21,11095,1,3,0,0
40,16292,1,9,0,0
57,15424,1,1,0,1
52,10793,0,8,1,2
58,10656,4,9,0,2
39,12391,1,8,1,2
37,17430,2,6,1,2
52,16915,1,8,1,0
27,2638,0,0,1,2
31,12116,4,8,1,2
47,7928,1,5,0,0
50,16088,0,9,0,0
26,10366,1,0,1,0
43,19831,0,9,0,0
37,8930,4,5,0,0
43,13742,0,1,0,0
63,2617,1,5,1,2
24,18681,1,0,0,0
64,3493,0,0,0,0
40,7878,0,5,1,0
54,16833,2,8,1,0
39,19364,1,1,1,0
34,9945,0,2,0,0
54,9952,1,3,1,2
51,1450,1,5,0,0
27,19588,2,0,1,2
52,821,4,6,1,2
54,1008,1,4,0,0
38,9732,3,9,0,2
61,570,3,3,0,0
49,3705,0,4,0,0
35,12740,2,0,1,2
21,14249,2,9,0,1
50,6314,2,8,1,2
30,16008,0,3,1,2
54,12350,2,4,0,0
44,4951,0,8,0,0
41,14392,4,2,0,0
